timestamp,open,high,low,close,volume
2022-12-15,10.87,11.4,10.87,11.1753,11944
2022-12-14,11.36,11.44,11.0,11.1052,17727
2022-12-13,12.67,12.67,11.15,11.49,57794
2022-12-12,12.82,12.82,12.07,12.07,16279
2022-12-09,12.68,13.44,12.68,13.1,53494
2022-12-08,12.36,12.71,12.3,12.6,7797
2022-12-07,13.05,13.05,12.6,12.67,3109
2022-12-06,13.22,13.26,12.89,13.25,8876
2022-12-05,14.23,14.23,13.36,13.44,5204
2022-12-02,14.4999,14.65,14.42,14.65,3214
2022-12-01,14.8969,14.97,14.4402,14.59,14132
2022-11-30,13.64,14.53,13.46,14.53,6649
2022-11-29,13.5,13.54,13.34,13.34,1420
2022-11-28,13.17,14.02,13.17,13.5416,5114
2022-11-25,13.5,13.65,13.38,13.5221,58100
2022-11-23,12.66,13.58,12.66,13.5746,4272
2022-11-22,12.3,12.3837,12.16,12.3837,3657
2022-11-21,12.97,12.97,12.2,12.204,8072
2022-11-18,13.31,13.33,13.07,13.31,2649
2022-11-17,13.81,13.81,13.4601,13.59,3117
2022-11-16,14.38,14.38,13.88,14.0,3387
2022-11-15,14.92,15.26,14.62,14.67,32848
2022-11-14,14.51,14.75,14.2,14.34,4729
2022-11-11,13.86,14.83,13.86,14.81,12824
2022-11-10,13.82,14.34,13.45,14.34,12512
2022-11-09,14.55,14.5501,13.11,13.14,7605
2022-11-08,14.66,14.8,14.1592,14.4513,8601
2022-11-07,16.08,16.08,15.0,15.0078,8599
2022-11-04,17.38,17.38,15.81,15.99,2642
2022-11-03,16.51,17.01,16.3,16.7932,4359
2022-11-02,16.8,16.8,16.8,16.8,1020
2022-11-01,18.76,18.88,18.0209,18.0209,19147
2022-10-31,17.85,18.01,17.6,17.95,11105
2022-10-28,17.74,18.0586,17.12,18.0586,3517
2022-10-27,18.15,18.36,17.64,17.7372,24758
2022-10-26,17.2,18.09,17.2,17.6963,17175
2022-10-25,16.57,17.65,16.5699,17.4863,14181
2022-10-24,15.82,16.42,15.38,16.41,4853
2022-10-21,15.93,16.72,15.93,16.72,7328
2022-10-20,16.22,16.8,15.58,16.0913,26474
2022-10-19,17.17,17.51,17.17,17.51,4967
2022-10-18,18.19,18.19,17.1501,17.3,7478
2022-10-17,16.7327,17.36,16.7327,17.2245,6898
2022-10-14,17.61,17.61,15.85,15.8512,8573
2022-10-13,16.29,17.63,16.29,17.5388,10575
2022-10-12,16.99,17.13,16.67,17.13,3011
2022-10-11,17.49,17.7899,16.96,17.0158,27407
2022-10-10,17.46,17.68,17.36,17.6723,599
2022-10-07,18.51,18.51,17.64,17.64,2694
2022-10-06,19.85,19.85,19.0901,19.2098,3222
2022-10-05,19.92,19.92,18.79,19.4385,2809
2022-10-04,20.51,21.08,19.67,20.35,6363
2022-10-03,20.85,20.85,19.62,19.62,4667
2022-09-30,22.09,22.52,21.9,22.08,3000
2022-09-29,23.93,23.93,22.33,22.33,3930
2022-09-28,23.81,24.51,23.58,24.4,6425
2022-09-27,24.39,24.45,23.45,23.9415,20449
2022-09-26,23.205,23.52,23.205,23.2327,1341
2022-09-23,23.91,23.91,23.06,23.09,27909
2022-09-22,25.8,25.8,24.49,24.6138,8796
2022-09-21,26.61,27.11,25.9409,25.9409,5675
